Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,Area,Weight,is_pareto
krnl_KALMAN_1741.cpp,xczu7ev-ffvc1156-2-e,5.0,4.608245,173,92,7,24,61,block_4_1,block_8_1,block_2_1,block_4_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_8,unroll,pipeline,pipeline_1,46.0,0.39203072765104796,False
krnl_KALMAN_1742.cpp,xczu7ev-ffvc1156-2-e,5.0,1.70012,916,92,7,26,70,cyclic_8_1,cyclic_8_1,cyclic_2_1,block_16_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_8,unroll,48.75,0.32642265589260305,False
krnl_KALMAN_1743.cpp,xczu7ev-ffvc1156-2-e,5.0,1.86394,199,92,7,25,58,cyclic_4_1,block_16_1,block_32_1,block_32_1,cyclic_32_1,cyclic_2_1,pipeline,pipeline_1,pipeline,unroll_4,unroll_2,unroll_2,unroll,45.5,0.40525228937746727,False
krnl_KALMAN_1744.cpp,xczu7ev-ffvc1156-2-e,5.0,1.884265,729,92,7,8,31,cyclic_8_1,cyclic_8_1,cyclic_4_1,complete_1,block_8_1,complete_1,pipeline_1,unroll,pipeline_1,unroll_4,unroll_2,unroll_8,unroll,34.5,0.757712656522588,False
krnl_KALMAN_1745.cpp,xczu7ev-ffvc1156-2-e,5.0,2.21194,185,92,7,7,23,cyclic_4_1,block_8_1,block_32_1,block_16_1,cyclic_32_1,cyclic_2_1,pipeline,unroll,pipeline_1,unroll_2,unroll_2,unroll_8,unroll,32.25,0.8452430879116101,False
krnl_KALMAN_1746.cpp,xczu7ev-ffvc1156-2-e,5.0,1.70012,601,92,7,26,70,cyclic_8_1,cyclic_8_1,block_2_1,block_4_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline,unroll_8,unroll,unroll_2,unroll,48.75,0.32642265589260305,False
krnl_KALMAN_1747.cpp,xczu7ev-ffvc1156-2-e,5.0,3.952975,1369,92,7,7,35,cyclic_8_1,block_8_1,block_2_1,block_16_1,block_8_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_8,unroll,unroll_8,pipeline,35.25,0.7283359113423956,False
krnl_KALMAN_1748.cpp,xczu7ev-ffvc1156-2-e,5.0,2.703695,281,92,7,7,21,block_4_1,block_8_1,block_2_1,block_16_1,block_32_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,pipeline_1,unroll,31.75,0.8628350511197286,False
krnl_KALMAN_1749.cpp,xczu7ev-ffvc1156-2-e,5.0,4.014415,1340,92,7,6,20,cyclic_8_1,block_8_1,block_2_1,block_16_1,cyclic_8_1,block_32_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,unroll_2,pipeline,31.25,0.8709808311029099,False
krnl_KALMAN_1750.cpp,xczu7ev-ffvc1156-2-e,5.0,4.48511,323,92,7,7,20,block_4_1,block_8_1,block_8_1,block_16_1,block_8_1,complete_1,pipeline,unroll,pipeline_1,unroll_2,unroll,pipeline_1,pipeline,31.5,0.8591843269785634,False
krnl_KALMAN_1751.cpp,xczu7ev-ffvc1156-2-e,5.0,3.973385,1345,92,7,25,63,cyclic_8_1,block_8_1,block_8_1,block_16_1,cyclic_8_1,cyclic_16_1,pipeline,pipeline_1,pipeline,unroll_8,unroll_2,unroll_8,pipeline,46.75,0.37360800237239644,False
krnl_KALMAN_1752.cpp,xczu7ev-ffvc1156-2-e,5.0,4.423715,239,92,7,7,20,block_4_1,block_8_1,cyclic_4_1,complete_1,block_8_1,complete_1,pipeline_1,unroll,pipeline_1,unroll_2,unroll,pipeline,pipeline,31.5,0.8597488333265311,False
krnl_KALMAN_1753.cpp,xczu7ev-ffvc1156-2-e,5.0,4.669375,132,92,7,23,47,block_4_1,block_8_1,cyclic_4_1,block_4_1,block_8_1,cyclic_4_1,pipeline,unroll,pipeline_1,unroll_2,unroll_2,pipeline,pipeline,42.25,0.4949934129774266,False
krnl_KALMAN_1754.cpp,xczu7ev-ffvc1156-2-e,5.0,4.505935,260,92,7,6,20,block_4_1,block_16_1,block_2_1,block_16_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll_2,unroll_8,pipeline,31.25,0.8662733557938647,False
krnl_KALMAN_1755.cpp,xczu7ev-ffvc1156-2-e,5.0,2.703695,273,92,7,7,21,block_4_1,block_8_1,block_2_1,block_16_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,pipeline_1,unroll,31.75,0.8628350511197286,False
krnl_KALMAN_1756.cpp,xczu7ev-ffvc1156-2-e,5.0,4.54684,876,92,7,24,50,cyclic_8_1,cyclic_8_1,block_8_1,block_16_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,unroll_8,pipeline,43.25,0.4661546097770132,False
krnl_KALMAN_1758.cpp,xczu7ev-ffvc1156-2-e,5.0,4.60825,1510,92,7,25,67,cyclic_8_1,cyclic_16_1,block_8_1,block_4_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline,unroll_8,unroll_2,unroll_8,pipeline,47.75,0.3492102008166742,False
krnl_KALMAN_1759.cpp,xczu7ev-ffvc1156-2-e,5.0,2.00712,154,92,7,25,58,cyclic_4_1,cyclic_8_1,block_32_1,block_16_1,cyclic_32_1,cyclic_2_1,pipeline,unroll,pipeline,unroll_4,unroll_2,unroll_8,unroll,45.5,0.4053184839088777,False
krnl_KALMAN_1760.cpp,xczu7ev-ffvc1156-2-e,5.0,1.82297,191,92,7,25,70,cyclic_4_1,cyclic_8_1,block_2_1,block_16_1,cyclic_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_8,unroll,unroll_8,unroll,48.5,0.33211519373067655,False
krnl_KALMAN_1761.cpp,xczu7ev-ffvc1156-2-e,5.0,2.7446,197,92,7,25,51,block_4_1,cyclic_8_1,block_8_1,block_4_1,cyclic_8_1,block_32_1,pipeline,pipeline_1,pipeline,unroll_2,unroll_2,pipeline,unroll,43.75,0.4527987362720497,False
krnl_KALMAN_1762.cpp,xczu7ev-ffvc1156-2-e,5.0,2.68316,334,92,7,7,21,block_4_1,block_8_1,block_8_1,block_16_1,cyclic_8_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll_2,pipeline,unroll,31.75,0.8629358359522533,False
krnl_KALMAN_1763.cpp,xczu7ev-ffvc1156-2-e,5.0,2.7446,202,92,7,25,51,block_4_1,cyclic_8_1,block_8_1,block_8_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,unroll_8,unroll,43.75,0.4527987362720497,False
krnl_KALMAN_1764.cpp,xczu7ev-ffvc1156-2-e,5.0,2.19164,278,92,7,26,70,block_4_1,cyclic_8_1,cyclic_2_1,block_16_1,cyclic_8_1,cyclic_4_1,pipeline,pipeline_1,pipeline,unroll_8,unroll_2,unroll_8,unroll,48.75,0.32659020340512845,False
krnl_KALMAN_1765.cpp,xczu7ev-ffvc1156-2-e,5.0,50.73961,66,92,1,2,11,block_4_1,block_8_1,block_2_1,block_16_1,block_4_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,unroll_2,pipeline_1,unroll_2,pipeline,26.5,0.24377720678368253,False
krnl_KALMAN_1766.cpp,xczu7ev-ffvc1156-2-e,5.0,2.334715,238,92,7,25,57,block_4_1,block_8_1,cyclic_4_1,complete_1,block_8_1,complete_1,pipeline,unroll,pipeline,unroll_4,unroll_2,unroll_2,unroll,45.25,0.4119814124782827,False
krnl_KALMAN_1767.cpp,xczu7ev-ffvc1156-2-e,5.0,4.546805,222,92,7,24,47,block_4_1,block_16_1,block_8_1,block_16_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline,unroll_2,unroll,pipeline_1,pipeline,42.5,0.4877854351398071,False
krnl_KALMAN_1768.cpp,xczu7ev-ffvc1156-2-e,5.0,1.86394,188,92,7,25,57,cyclic_4_1,block_8_1,block_32_1,block_32_1,cyclic_16_1,complete_1,pipeline,pipeline_1,pipeline,unroll_4,unroll,unroll_4,unroll,45.25,0.41179511331134677,False
krnl_KALMAN_1770.cpp,xczu7ev-ffvc1156-2-e,5.0,2.150735,370,92,7,8,42,block_4_1,block_8_1,block_2_1,block_16_1,cyclic_8_1,complete_1,pipeline,pipeline_1,pipeline_1,unroll_8,pipeline_1,unroll_8,unroll,37.25,0.65764832387459,False
krnl_KALMAN_1771.cpp,xczu7ev-ffvc1156-2-e,5.0,4.50571,877,92,7,25,55,cyclic_8_1,cyclic_8_1,cyclic_4_1,block_16_1,block_8_1,block_32_1,pipeline_1,unroll,pipeline_1,unroll_4,unroll,unroll_8,pipeline,44.75,0.42475621597254454,False
krnl_KALMAN_1772.cpp,xczu7ev-ffvc1156-2-e,5.0,4.66965,128,92,7,24,46,block_4_1,block_8_1,block_8_1,block_4_1,cyclic_8_1,cyclic_16_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,pipeline,pipeline,42.25,0.49499309452614315,False
krnl_KALMAN_1773.cpp,xczu7ev-ffvc1156-2-e,5.0,4.66969,1098,92,7,24,48,cyclic_8_1,cyclic_4_1,cyclic_2_1,block_8_1,block_8_1,cyclic_2_1,pipeline,pipeline_1,pipeline_1,unroll_2,unroll,unroll_2,pipeline,42.75,0.48037849569902313,False
