Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_2088.cpp,xczu7ev-ffvc1156-2-e,3.33,3.58040268,356,1,1,7,24,cyclic_256_1,cyclic_256_1,unroll_2,pipeline,unroll_32,pipeline_1,8.25,1.0,True
workload_2089.cpp,xczu7ev-ffvc1156-2-e,3.33,3.58040268,359,1,1,7,24,cyclic_256_1,cyclic_256_1,unroll_32,pipeline,unroll_64,pipeline,8.25,1.0,True
workload_2090.cpp,xczu7ev-ffvc1156-2-e,3.33,3.58040268,360,1,1,7,24,cyclic_256_1,cyclic_256_1,unroll_64,pipeline,unroll_4,pipeline_1,8.25,1.0,True
workload_2092.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44226662,116,1,1,1,7,cyclic_2_1,cyclic_64_1,unroll_4,pipeline,unroll_32,pipeline,2.5,0.9835113513340432,False
workload_2093.cpp,xczu7ev-ffvc1156-2-e,3.33,14.0438421,63,2,1,1,1,cyclic_2_1,block_2_1,pipeline_1,unroll_2,unroll_64,pipeline,1.25,1.0,True
workload_2094.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5395236,547,1,1,17,71,cyclic_2_1,cyclic_256_1,unroll_32,pipeline,unroll_16,unroll_64,22.5,1.0,True
workload_2095.cpp,xczu7ev-ffvc1156-2-e,3.33,4.44567654,283,1,1,3,20,cyclic_256_1,block_2_1,unroll_16,pipeline,unroll_64,pipeline_1,6.25,0.8321834575043975,False
workload_2096.cpp,xczu7ev-ffvc1156-2-e,3.33,53.49876102,565,1,1,3,18,cyclic_128_1,cyclic_2_1,unroll_32,unroll_8,unroll_32,unroll_2,5.75,0.16941331220722786,False
workload_2097.cpp,xczu7ev-ffvc1156-2-e,3.33,3.55315329,570,5,1,15,73,cyclic_8_1,block_8_1,pipeline_1,pipeline,unroll_16,unroll_64,23.5,0.33359840209516284,False
workload_2098.cpp,xczu7ev-ffvc1156-2-e,3.33,3.5497433700000003,575,2,1,15,74,cyclic_2_1,cyclic_8_1,unroll_32,pipeline,unroll_2,unroll_64,23.0,0.35424498859673315,False
