Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,Area,Weight,is_pareto
workload_81.cpp,xczu7ev-ffvc1156-2-e,3.33,1.89709434,753,5,3,59,75,complete_1,unroll_32,pipeline,35.5,0.10000000000000002,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,3.33,1.45774746,909,5,5,19,24,complete_1,unroll_8,unroll,13.25,0.39190574271663237,False
workload_88.cpp,xczu7ev-ffvc1156-2-e,3.33,1.8396585,71,5,2,6,10,complete_1,unroll_2,pipeline,5.75,0.33829679345336405,False
workload_89.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08656668,78,5,3,10,12,complete_1,pipeline,pipeline_1,7.5,1.0,True
workload_90.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08656668,86,5,3,10,12,complete_1,pipeline,pipeline,7.5,1.0,True
workload_91.cpp,xczu7ev-ffvc1156-2-e,3.33,0.08655669,87,5,3,11,12,complete_1,pipeline_1,unroll,7.75,1.0,True
workload_92.cpp,xczu7ev-ffvc1156-2-e,3.33,1.58135706,101,5,2,9,15,complete_1,unroll_4,pipeline_1,7.75,0.4432401433475047,False
workload_93.cpp,xczu7ev-ffvc1156-2-e,3.33,1.58348826,148,5,2,16,23,complete_1,unroll_8,pipeline_1,11.5,0.3860969180508942,False
workload_96.cpp,xcu200-fsgd2104-2-e,10.0,1.26978,172,1,1,1,2,complete_1,unroll_2,unroll,1.25,0.5324695932588296,False
workload_97.cpp,xcu200-fsgd2104-2-e,10.0,1.20322,111,1,1,1,2,complete_1,unroll_2,pipeline_1,1.25,0.5580007781405837,False
workload_98.cpp,xcu200-fsgd2104-2-e,10.0,0.25726,120,1,1,1,2,complete_1,pipeline,pipeline_1,1.25,1.0,True
workload_99.cpp,xcu200-fsgd2104-2-e,10.0,1.66242,871,1,1,11,15,complete_1,unroll_32,pipeline,7.0,0.19644866828234098,False
workload_100.cpp,xcu200-fsgd2104-2-e,10.0,1.53986,217,1,1,3,4,complete_1,unroll_8,pipeline,2.25,0.3976606199580588,False
workload_101.cpp,xcu200-fsgd2104-2-e,10.0,0.26754,129,1,1,1,2,complete_1,pipeline_1,unroll_2,1.25,0.9944018439444527,False
workload_102.cpp,xcu200-fsgd2104-2-e,10.0,1.32274,2480,1,1,18,28,complete_1,unroll_64,pipeline_1,12.0,0.11552706540258097,False
workload_103.cpp,xcu200-fsgd2104-2-e,10.0,1.54626,123,1,1,1,1,complete_1,unroll_2,unroll_2,1.0,1.0,True
workload_104.cpp,xcu200-fsgd2104-2-e,10.0,1.5821,111,1,1,1,1,complete_1,unroll_2,pipeline,1.0,0.4205086816332011,False
workload_108.cpp,xcu200-fsgd2104-2-e,10.0,1.59362,581,1,1,4,5,complete_1,unroll_16,unroll_2,2.75,0.3608291929024211,False
workload_109.cpp,xcu200-fsgd2104-2-e,10.0,1.66066,2490,1,1,21,29,complete_1,unroll_64,pipeline,13.0,0.10000000000000002,False
workload_110.cpp,xcu200-fsgd2104-2-e,10.0,0.25726,124,1,1,1,2,complete_1,pipeline_1,pipeline,1.25,1.0,True
workload_111.cpp,xcu200-fsgd2104-2-e,10.0,0.26754,127,1,1,1,2,complete_1,pipeline,unroll,1.25,0.9944018439444527,False
workload_112.cpp,xcu200-fsgd2104-2-e,10.0,0.26754,127,1,1,1,2,complete_1,pipeline,unroll_2,1.25,0.9944018439444527,False
workload_113.cpp,xcu200-fsgd2104-2-e,10.0,1.55394,140,1,1,1,2,complete_1,unroll_4,pipeline,1.25,0.43143968304546354,False
workload_114.cpp,xcu200-fsgd2104-2-e,10.0,1.52066,176,1,1,1,2,complete_1,unroll_4,unroll_2,1.25,0.44281752814589925,False
