Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,Area,Weight,is_pareto
workload_3971.cpp,xcu200-fsgd2104-2-e,3.33,14.28078825,58,1,1,1,1,cyclic_16_1,cyclic_4_1,complete_1,pipeline_1,pipeline,pipeline_1,unroll_4,pipeline,1.0,0.9200367181184901,False
workload_3972.cpp,xcu200-fsgd2104-2-e,3.33,80.68898025,64,1,1,1,1,cyclic_8_1,cyclic_8_1,complete_1,unroll_64,unroll_2,unroll_64,unroll_2,pipeline_1,1.0,0.3462896950081987,False
workload_3973.cpp,xcu200-fsgd2104-2-e,3.33,75.94108290000001,78,1,1,1,2,cyclic_32_1,cyclic_4_1,complete_1,pipeline_1,unroll_16,pipeline_1,unroll_32,pipeline_1,1.25,0.37495177984512285,False
workload_3974.cpp,xcu200-fsgd2104-2-e,3.33,10.82109474,146,1,1,1,1,block_32_1,block_64_1,complete_1,pipeline_1,pipeline,unroll_16,unroll_64,unroll,1.0,0.9591090593689909,False
workload_3975.cpp,xcu200-fsgd2104-2-e,3.33,10.872999450000002,154,1,1,1,1,cyclic_64_1,cyclic_128_1,complete_1,pipeline,pipeline,pipeline_1,unroll_32,pipeline_1,1.0,0.9585161504645856,False
workload_3976.cpp,xcu200-fsgd2104-2-e,3.33,10.87490754,159,1,1,1,5,block_8_1,block_128_1,complete_1,pipeline_1,pipeline,unroll_64,unroll_32,unroll,2.0,0.7728995308623676,False
workload_3977.cpp,xcu200-fsgd2104-2-e,3.33,14.71129065,75,1,1,1,1,block_8_1,block_32_1,complete_1,unroll_16,pipeline,unroll_32,unroll_8,pipeline,1.0,0.9152384166158135,False
workload_3978.cpp,xcu200-fsgd2104-2-e,3.33,15.33273858,118,1,1,1,3,block_128_1,block_4_1,complete_1,unroll_8,pipeline_1,unroll_8,unroll_4,pipeline,1.5,0.8539744411597376,False
workload_3979.cpp,xcu200-fsgd2104-2-e,3.33,12.783833370000002,85,1,1,1,1,cyclic_8_1,block_32_1,complete_1,unroll_64,pipeline_1,unroll_64,unroll_2,unroll,1.0,0.9368311018291376,False
workload_3980.cpp,xcu200-fsgd2104-2-e,3.33,14.7181005,64,1,1,1,1,block_8_1,block_8_1,complete_1,unroll_16,pipeline,unroll_32,unroll_8,unroll,1.0,0.9151626283838538,False
workload_3981.cpp,xcu200-fsgd2104-2-e,3.33,17.79406146,78,1,1,1,1,block_8_1,cyclic_32_1,complete_1,unroll_2,pipeline,pipeline,unroll_64,unroll,1.0,0.8812898067577976,False
workload_3982.cpp,xcu200-fsgd2104-2-e,3.33,10.78220034,485,1,1,1,4,cyclic_8_1,block_16_1,complete_1,unroll_16,pipeline,unroll_8,pipeline_1,unroll,1.75,0.8249174480935303,False
workload_3983.cpp,xcu200-fsgd2104-2-e,3.33,7.283622419999999,552,1,1,1,2,cyclic_128_1,cyclic_128_1,complete_1,pipeline_1,pipeline,unroll_4,pipeline,unroll,1.25,0.9410159326801807,False
workload_3984.cpp,xcu200-fsgd2104-2-e,3.33,11.14365186,552,1,3,3,5,block_16_1,cyclic_32_1,complete_1,unroll_32,unroll_16,unroll_64,pipeline,pipeline_1,3.0,0.5825444030754955,False
workload_3985.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,587,1,1,1,2,cyclic_128_1,cyclic_128_1,complete_1,unroll_8,unroll_2,unroll_2,pipeline_1,pipeline_1,1.25,0.9386739190570788,False
workload_3986.cpp,xcu200-fsgd2104-2-e,3.33,10.83090825,100,1,1,1,1,cyclic_64_1,block_2_1,complete_1,pipeline,pipeline,unroll_8,unroll_64,pipeline_1,1.0,0.958996943689291,False
workload_3987.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,593,1,1,1,2,cyclic_128_1,cyclic_128_1,complete_1,pipeline,unroll_2,pipeline_1,pipeline_1,pipeline_1,1.25,0.9386739190570788,False
workload_3988.cpp,xcu200-fsgd2104-2-e,3.33,18.20985858,60,1,1,1,1,cyclic_8_1,block_8_1,complete_1,unroll_2,pipeline,unroll_32,unroll_8,pipeline_1,1.0,0.8767661509595692,False
workload_3989.cpp,xcu200-fsgd2104-2-e,3.33,10.89131778,611,1,13,9,11,block_64_1,block_64_1,complete_1,unroll_16,unroll_8,unroll_64,pipeline_1,pipeline,8.5,0.10000000000000003,False
workload_3990.cpp,xcu200-fsgd2104-2-e,3.33,14.50072809,135,1,1,1,2,block_128_1,block_4_1,complete_1,pipeline,pipeline_1,unroll_32,unroll_4,pipeline,1.25,0.8994379529739155,False
workload_3991.cpp,xcu200-fsgd2104-2-e,3.33,78.02070786,75,1,1,1,1,cyclic_16_1,cyclic_4_1,complete_1,unroll_64,unroll_16,unroll_8,unroll_4,pipeline,1.0,0.36288257869732,False
workload_3992.cpp,xcu200-fsgd2104-2-e,3.33,10.77539049,458,1,1,1,2,cyclic_8_1,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_32,pipeline_1,pipeline,1.25,0.9289004657050844,False
workload_3993.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,616,1,1,1,3,block_64_1,block_128_1,complete_1,unroll_2,pipeline_1,pipeline_1,pipeline_1,pipeline_1,1.5,0.8828827841573706,False
workload_3994.cpp,xcu200-fsgd2104-2-e,3.33,8.756707859999999,554,1,1,1,1,cyclic_8_1,block_16_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,pipeline,1.0,0.9828565539257812,False
