Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_383.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,345,13,1,2,19,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_8,pipeline,pipeline_1,unroll_4,pipeline,unroll_32,pipeline,pipeline,unroll,8.75,0.8877949516827717,False
workload_385.cpp,xczu7ev-ffvc1156-2-e,10.0,88.96977,282,12,1,1,13,cyclic_2_1,block_4_1,cyclic_8_1,unroll_4,pipeline,unroll_2,unroll,unroll_2,unroll_32,pipeline,pipeline_1,unroll,6.75,0.7277221924568014,False
workload_386.cpp,xczu7ev-ffvc1156-2-e,10.0,142.93313,473,12,1,2,22,cyclic_2_1,cyclic_4_1,complete_1,unroll_2,pipeline,pipeline_1,unroll,unroll_8,unroll_32,unroll_8,unroll,pipeline_1,9.25,0.5481912391275906,False
workload_387.cpp,xczu7ev-ffvc1156-2-e,10.0,22.86961,986,26,1,1,19,cyclic_64_1,cyclic_8_1,complete_1,unroll_2,pipeline,pipeline_1,unroll,pipeline_1,pipeline,pipeline,pipeline,unroll,11.75,0.813731093956074,False
workload_388.cpp,xczu7ev-ffvc1156-2-e,10.0,83.28066,759,12,1,5,41,cyclic_2_1,cyclic_8_1,cyclic_2_1,unroll_4,pipeline_1,unroll_2,unroll_4,unroll_16,pipeline_1,unroll_16,pipeline,unroll,14.75,0.6222493313918105,False
workload_389.cpp,xczu7ev-ffvc1156-2-e,10.0,6.42143,1202,96,1,3,42,cyclic_4_1,block_16_1,block_4_1,unroll_2,unroll,pipeline_1,unroll,pipeline,unroll_32,pipeline_1,pipeline_1,unroll,35.5,0.19739101964358352,False
workload_391.cpp,xczu7ev-ffvc1156-2-e,10.0,10.8927,205,91,1,2,11,cyclic_4_1,cyclic_4_1,complete_1,unroll_4,unroll_4,unroll_2,unroll_4,pipeline,pipeline_1,unroll_16,pipeline,unroll,26.25,0.42908065031491105,False
workload_392.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,245,13,1,1,11,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_2,pipeline,pipeline_1,unroll_4,pipeline,pipeline_1,unroll_32,pipeline,unroll,6.5,0.9447489347434628,False
workload_393.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,584,18,1,2,30,cyclic_4_1,block_8_1,cyclic_4_1,unroll_8,pipeline,pipeline,unroll_4,pipeline,unroll_32,unroll_8,pipeline,pipeline_1,12.75,0.7902022309941281,False
workload_394.cpp,xczu7ev-ffvc1156-2-e,10.0,105.7695,1005,13,1,3,24,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_8,pipeline_1,pipeline,pipeline,unroll,10.25,0.6387812047202265,False
workload_396.cpp,xczu7ev-ffvc1156-2-e,10.0,22.87241,1678,26,1,1,25,cyclic_64_1,cyclic_8_1,block_4_1,unroll_4,pipeline_1,unroll_2,unroll,pipeline,pipeline_1,pipeline,pipeline_1,pipeline_1,13.25,0.7780698550844808,False
workload_397.cpp,xczu7ev-ffvc1156-2-e,10.0,6.44343,464,91,1,3,24,cyclic_4_1,block_16_1,complete_1,unroll_4,unroll,unroll_2,unroll,pipeline,unroll_32,unroll_16,pipeline,pipeline_1,29.75,0.3253627189318342,False
workload_399.cpp,xczu7ev-ffvc1156-2-e,10.0,6.42746,194,91,1,2,9,cyclic_4_1,block_4_1,cyclic_2_1,unroll_4,unroll_4,unroll_2,unroll,pipeline,unroll_32,pipeline,pipeline,unroll,25.75,0.44558287359454096,False
workload_400.cpp,xczu7ev-ffvc1156-2-e,10.0,22.87225,234,13,1,1,11,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline,unroll_4,unroll,pipeline,unroll_32,pipeline,unroll,pipeline_1,6.5,0.9442197319324144,False
workload_401.cpp,xczu7ev-ffvc1156-2-e,10.0,6.25007,314,91,1,3,17,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_4,unroll,pipeline_1,unroll,pipeline,pipeline_1,unroll_16,pipeline,unroll,28.0,0.3748055693814244,False
workload_402.cpp,xczu7ev-ffvc1156-2-e,10.0,7.38458,189,91,1,2,9,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_4,unroll_4,unroll_2,unroll_4,pipeline,unroll_32,unroll_16,pipeline,pipeline_1,25.75,0.44559813410982385,False
workload_403.cpp,xczu7ev-ffvc1156-2-e,10.0,22.86961,251,13,1,1,12,cyclic_4_1,cyclic_4_1,complete_1,unroll_2,pipeline_1,pipeline_1,unroll,pipeline,pipeline_1,pipeline,pipeline_1,unroll,6.75,0.9376726909963837,False
workload_404.cpp,xczu7ev-ffvc1156-2-e,10.0,7.20858,209,91,1,1,10,cyclic_4_1,cyclic_4_1,complete_1,unroll_2,unroll_4,pipeline_1,unroll_4,pipeline,unroll_32,unroll_16,pipeline_1,unroll,25.75,0.44559676246012436,False
workload_405.cpp,xczu7ev-ffvc1156-2-e,10.0,24.00286,245,15,1,1,11,cyclic_8_1,cyclic_8_1,complete_1,unroll_2,pipeline,pipeline_1,unroll_2,pipeline,unroll_32,pipeline,pipeline,unroll,7.0,0.9279217573469888,False
workload_406.cpp,xczu7ev-ffvc1156-2-e,10.0,23.93858,259,18,1,1,14,cyclic_4_1,block_32_1,complete_1,unroll_2,pipeline,unroll_2,unroll_4,pipeline,pipeline_1,unroll_32,pipeline,unroll,8.5,0.8912906755175272,False
workload_408.cpp,xczu7ev-ffvc1156-2-e,10.0,9.8483,431,91,1,4,17,cyclic_4_1,block_16_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll_2,pipeline,unroll_16,pipeline,pipeline,unroll,28.25,0.3674436223242452,False
workload_409.cpp,xczu7ev-ffvc1156-2-e,10.0,87.22881,599,13,1,3,30,cyclic_4_1,cyclic_4_1,cyclic_8_1,unroll_4,pipeline_1,unroll_4,unroll,unroll_8,pipeline_1,pipeline,pipeline_1,pipeline_1,11.75,0.6658685041129305,False
workload_410.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,344,13,1,2,19,cyclic_4_1,cyclic_4_1,complete_1,unroll_8,pipeline_1,pipeline_1,unroll_4,pipeline,pipeline_1,pipeline,pipeline,unroll,8.75,0.8877949516827717,False
workload_411.cpp,xczu7ev-ffvc1156-2-e,10.0,22.87362,237,13,1,1,14,cyclic_4_1,cyclic_32_1,complete_1,unroll_4,pipeline,unroll_2,unroll_4,pipeline,unroll_16,unroll_16,pipeline,unroll,7.25,0.9247545929885221,False
workload_412.cpp,xczu7ev-ffvc1156-2-e,10.0,6.25287,268,91,1,3,14,cyclic_4_1,block_16_1,block_4_1,unroll_4,unroll,unroll_2,unroll,pipeline,pipeline_1,pipeline_1,pipeline,unroll,27.25,0.3974967675205151,False
workload_415.cpp,xczu7ev-ffvc1156-2-e,10.0,6.42423,454,91,1,3,23,cyclic_4_1,block_16_1,cyclic_8_1,unroll_4,unroll,unroll_2,unroll,pipeline,unroll_32,pipeline,pipeline_1,unroll,29.5,0.3321263021132579,False
workload_416.cpp,xczu7ev-ffvc1156-2-e,10.0,84.42754,277,12,1,1,13,cyclic_2_1,cyclic_8_1,cyclic_8_1,unroll_4,pipeline,unroll_2,unroll_4,unroll_2,pipeline_1,unroll_16,pipeline,unroll,6.75,0.7421302461619219,False
workload_417.cpp,xczu7ev-ffvc1156-2-e,10.0,18.22892,334,12,1,2,12,cyclic_2_1,cyclic_8_1,cyclic_8_1,unroll_4,pipeline,unroll_2,unroll_2,pipeline,unroll_16,pipeline,pipeline_1,unroll,6.75,0.9489655106270033,False
workload_418.cpp,xczu7ev-ffvc1156-2-e,10.0,14.84234,381,17,1,1,21,cyclic_2_1,block_4_1,block_8_1,unroll_4,pipeline,pipeline_1,unroll_4,pipeline,unroll_32,pipeline,pipeline,unroll,10.0,0.8717226424796924,False
workload_419.cpp,xczu7ev-ffvc1156-2-e,10.0,6.44343,464,91,1,3,24,cyclic_4_1,block_16_1,cyclic_8_1,unroll_4,unroll,unroll_2,unroll,pipeline,unroll_32,unroll_16,pipeline,unroll,29.75,0.3253627189318342,False
workload_420.cpp,xczu7ev-ffvc1156-2-e,10.0,8.52222,1262,80,1,3,45,cyclic_2_1,block_16_1,block_4_1,unroll_4,unroll,pipeline_1,unroll_2,pipeline,unroll_32,pipeline_1,pipeline_1,unroll,32.25,0.26323866620466196,False
workload_424.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,287,13,1,1,15,cyclic_4_1,cyclic_32_1,complete_1,unroll_4,pipeline_1,pipeline_1,unroll_4,pipeline,unroll_32,unroll_32,pipeline,unroll,7.5,0.9190281530950354,False
workload_426.cpp,xczu7ev-ffvc1156-2-e,10.0,87.05489,767,12,1,5,41,cyclic_2_1,cyclic_8_1,cyclic_2_1,unroll_4,pipeline_1,unroll_2,unroll,unroll_16,unroll_32,pipeline,pipeline,unroll,14.75,0.614001541970249,False
workload_428.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,245,13,1,1,11,cyclic_4_1,cyclic_8_1,cyclic_8_1,unroll_2,pipeline_1,pipeline_1,unroll_4,pipeline,unroll_32,pipeline,pipeline_1,unroll,6.5,0.9447489347434628,False
workload_429.cpp,xczu7ev-ffvc1156-2-e,10.0,35.70129,252,15,1,2,14,cyclic_8_1,block_8_1,cyclic_8_1,unroll_4,pipeline_1,unroll_2,unroll,unroll_2,unroll_16,pipeline,unroll,unroll,8.0,0.8737498506087531,False
workload_433.cpp,xczu7ev-ffvc1156-2-e,10.0,22.8685,465,13,1,2,18,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline_1,unroll,unroll_4,pipeline,pipeline_1,unroll_16,pipeline,unroll,8.5,0.8936478962246001,False
workload_434.cpp,xczu7ev-ffvc1156-2-e,10.0,105.7695,1011,12,1,3,25,cyclic_2_1,cyclic_4_1,complete_1,unroll_4,pipeline_1,unroll_4,unroll_4,unroll_8,pipeline_1,pipeline,pipeline,unroll,10.25,0.6387812047202265,False
workload_436.cpp,xczu7ev-ffvc1156-2-e,10.0,84.82074,197,13,1,1,8,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_4,unroll_4,unroll_2,unroll_4,unroll_2,unroll_16,unroll_16,pipeline,unroll,5.75,0.7474743718930728,False
workload_440.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,273,13,1,1,14,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline,pipeline_1,unroll_4,pipeline,pipeline_1,unroll_32,pipeline,unroll,7.25,0.9252154173067282,False
workload_441.cpp,xczu7ev-ffvc1156-2-e,10.0,22.68618,275,13,1,1,14,cyclic_4_1,cyclic_8_1,complete_1,unroll_4,pipeline,pipeline_1,unroll_4,pipeline,unroll_32,unroll_32,pipeline,unroll,7.25,0.9252154173067282,False
