Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Area,Weight,is_pareto
workload_303.cpp,xczu7ev-ffvc1156-2-e,10.0,110.54814,81,1,1,3,6,complete_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990753786279575,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10.0,110.19988,177,1,1,5,9,cyclic_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.0,0.9552797733069383,False
workload_305.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,79,1,1,3,6,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_307.cpp,xczu7ev-ffvc1156-2-e,10.0,110.20664,851,1,1,9,14,complete_2,cyclic_2_1,unroll_4,unroll_4,unroll_2,pipeline_1,6.25,0.8056033145591539,False
workload_309.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,80,1,1,3,6,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_310.cpp,xczu7ev-ffvc1156-2-e,10.0,416.99732,468,1,2,10,17,block_4_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_8,7.5,0.4356502135423189,False
workload_311.cpp,xczu7ev-ffvc1156-2-e,10.0,778.50534,88,1,1,4,7,block_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_2,3.25,0.1489612401212129,False
workload_312.cpp,xczu7ev-ffvc1156-2-e,10.0,270.28966,837,1,5,20,33,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_16,14.75,0.3347843155105689,False
workload_313.cpp,xczu7ev-ffvc1156-2-e,10.0,110.14366,165,1,1,5,9,complete_2,block_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.0,0.9553364216733921,False
workload_316.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,78,1,1,3,6,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_318.cpp,xczu7ev-ffvc1156-2-e,10.0,436.8059,102,1,2,4,8,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_4,3.75,0.4506265299350125,False
workload_320.cpp,xczu7ev-ffvc1156-2-e,10.0,436.77614,121,1,2,4,8,complete_1,block_2_1,unroll_2,unroll_2,unroll_2,unroll_4,3.75,0.450664770325681,False
workload_321.cpp,xczu7ev-ffvc1156-2-e,10.0,110.46566,874,1,1,9,14,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_4,pipeline_1,6.25,0.8056010857588494,False
workload_322.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75864,877,1,1,9,15,cyclic_8_1,cyclic_2_1,unroll_4,unroll_4,unroll_2,pipeline,6.5,0.7898166065598077,False
workload_323.cpp,xczu7ev-ffvc1156-2-e,10.0,126.06566,909,1,1,12,20,block_2_1,block_2_1,unroll_2,unroll_8,unroll_2,pipeline,8.5,0.6687272162268743,False
workload_324.cpp,xczu7ev-ffvc1156-2-e,10.0,262.29588,949,1,4,16,23,cyclic_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,unroll_16,11.0,0.47939698436362277,False
workload_325.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75864,853,1,1,9,14,complete_2,cyclic_2_1,unroll_4,unroll_4,unroll_2,pipeline,6.25,0.8056041275936867,False
workload_326.cpp,xczu7ev-ffvc1156-2-e,10.0,431.2199,292,1,2,6,10,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_4,unroll_4,4.75,0.4534122496549887,False
workload_327.cpp,xczu7ev-ffvc1156-2-e,10.0,425.66188,1388,1,2,10,17,complete_2,block_2_1,unroll_4,unroll_2,unroll_4,unroll_4,7.5,0.4258100986981558,False
workload_328.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,99,1,1,3,6,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_329.cpp,xczu7ev-ffvc1156-2-e,10.0,116.38946,1501,1,1,12,25,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,9.75,0.6006860402383369,False
workload_330.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,93,1,1,3,6,complete_2,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_331.cpp,xczu7ev-ffvc1156-2-e,10.0,110.14366,197,1,1,5,9,cyclic_8_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.0,0.9553364216733921,False
workload_332.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,99,1,1,3,6,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_333.cpp,xczu7ev-ffvc1156-2-e,10.0,109.89332,206,1,1,6,11,block_2_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.75,0.9040803107930577,False
workload_334.cpp,xczu7ev-ffvc1156-2-e,10.0,425.59188,306,1,2,6,11,cyclic_2_1,block_2_1,unroll_4,unroll_2,unroll_2,unroll_4,5.0,0.4587991898851942,False
workload_335.cpp,xczu7ev-ffvc1156-2-e,10.0,431.2199,293,1,2,6,10,complete_2,block_2_1,unroll_2,unroll_2,unroll_4,unroll_4,4.75,0.4534122496549887,False
workload_336.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,195,1,1,5,8,block_8_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_337.cpp,xczu7ev-ffvc1156-2-e,10.0,110.2124,205,1,1,5,10,complete_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.25,0.9383231713788196,False
workload_339.cpp,xczu7ev-ffvc1156-2-e,10.0,778.4059,113,1,1,3,6,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.14907889685375686,False
workload_340.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,97,1,1,3,6,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_341.cpp,xczu7ev-ffvc1156-2-e,10.0,110.59166,192,1,1,5,9,cyclic_8_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,4.0,0.9548830274451409,False
workload_343.cpp,xczu7ev-ffvc1156-2-e,10.0,755.99188,224,1,1,5,9,cyclic_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,unroll_2,4.0,0.1600370709932477,False
workload_344.cpp,xczu7ev-ffvc1156-2-e,10.0,126.39806,868,1,1,9,15,complete_2,complete_1,unroll_2,unroll_8,unroll_2,pipeline_1,6.5,0.7874729254726021,False
workload_345.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,192,1,1,5,8,cyclic_2_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_346.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,93,1,1,3,6,block_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_347.cpp,xczu7ev-ffvc1156-2-e,10.0,778.40346,240,1,1,5,10,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,unroll_2,4.25,0.14850525443837242,False
workload_348.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75188,193,1,1,5,9,cyclic_4_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.0,1.0,True
workload_349.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,93,1,1,3,6,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_350.cpp,xczu7ev-ffvc1156-2-e,10.0,110.54814,95,1,1,3,6,complete_1,complete_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990753786279575,False
workload_351.cpp,xczu7ev-ffvc1156-2-e,10.0,767.2199,218,1,1,4,8,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_4,unroll_2,3.5,0.1544633793485684,False
workload_352.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,95,1,1,3,6,cyclic_8_1,complete_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_354.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75188,199,1,1,5,9,cyclic_8_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.0,1.0,True
workload_356.cpp,xczu7ev-ffvc1156-2-e,10.0,262.43732,986,1,4,17,24,block_2_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,unroll_16,11.5,0.45927570923871064,False
workload_357.cpp,xczu7ev-ffvc1156-2-e,10.0,110.60346,202,1,1,5,10,complete_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,4.25,0.9382915362563546,False
workload_360.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,94,1,1,3,6,cyclic_2_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_361.cpp,xczu7ev-ffvc1156-2-e,10.0,110.5779,96,1,1,3,6,block_8_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline_1,2.75,0.9990139741830806,False
workload_362.cpp,xczu7ev-ffvc1156-2-e,10.0,110.10014,94,1,1,3,6,complete_1,complete_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,1.0,True
workload_363.cpp,xczu7ev-ffvc1156-2-e,10.0,110.14366,195,1,1,5,9,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.0,0.9553364216733921,False
workload_364.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75188,241,1,1,5,9,cyclic_4_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.0,1.0,True
workload_365.cpp,xczu7ev-ffvc1156-2-e,10.0,109.75188,188,1,1,5,9,block_8_1,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline,4.0,1.0,True
workload_366.cpp,xczu7ev-ffvc1156-2-e,10.0,110.2124,197,1,1,5,10,complete_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.25,0.9383231713788196,False
workload_367.cpp,xczu7ev-ffvc1156-2-e,10.0,109.9619,194,1,1,5,8,complete_2,block_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.75,1.0,True
workload_368.cpp,xczu7ev-ffvc1156-2-e,10.0,778.4059,100,1,1,3,6,cyclic_8_1,block_2_1,unroll_2,unroll_2,unroll_2,unroll_2,2.75,0.14907889685375686,False
workload_369.cpp,xczu7ev-ffvc1156-2-e,10.0,110.15546,194,1,1,5,10,complete_1,cyclic_2_1,unroll_2,unroll_4,unroll_2,pipeline,4.25,0.938326080684482,False
workload_370.cpp,xczu7ev-ffvc1156-2-e,10.0,110.1299,94,1,1,3,6,cyclic_4_1,block_2_1,unroll_2,unroll_2,unroll_2,pipeline,2.75,0.999938563988114,False
workload_371.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,201,1,1,5,8,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_372.cpp,xczu7ev-ffvc1156-2-e,10.0,109.9619,189,1,1,5,8,block_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.75,1.0,True
workload_373.cpp,xczu7ev-ffvc1156-2-e,10.0,109.9619,194,1,1,5,8,cyclic_4_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline,3.75,1.0,True
workload_374.cpp,xczu7ev-ffvc1156-2-e,10.0,110.59166,200,1,1,5,9,complete_2,block_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,4.0,0.9548830274451409,False
workload_375.cpp,xczu7ev-ffvc1156-2-e,10.0,110.19988,209,1,1,5,9,complete_2,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.0,0.9552797733069383,False
workload_376.cpp,xczu7ev-ffvc1156-2-e,10.0,110.4099,210,1,1,5,8,complete_2,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,3.75,0.9640406268089268,False
workload_377.cpp,xczu7ev-ffvc1156-2-e,10.0,756.06188,1034,1,1,8,13,cyclic_4_1,complete_1,unroll_4,unroll_2,unroll_4,unroll_2,5.75,0.15738982717071076,False
workload_378.cpp,xczu7ev-ffvc1156-2-e,10.0,110.43932,956,1,1,10,15,block_2_1,block_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,6.75,0.7742055005154,False
workload_379.cpp,xczu7ev-ffvc1156-2-e,10.0,109.89332,225,1,1,6,12,block_4_1,block_2_1,unroll_4,unroll_2,unroll_2,pipeline,5.0,0.8872211486269977,False
workload_380.cpp,xczu7ev-ffvc1156-2-e,10.0,110.39414,209,1,1,5,9,complete_1,block_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,4.0,0.9550834839634494,False
workload_381.cpp,xczu7ev-ffvc1156-2-e,10.0,110.2124,215,1,1,5,10,complete_1,complete_1,unroll_4,unroll_2,unroll_2,pipeline_1,4.25,0.9383231713788196,False
