Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_182.cpp,xczu7ev-ffvc1156-2-e,10.0,689.3025,340,25,1,13,54,cyclic_4_1,cyclic_4_1,cyclic_2_1,unroll_4,unroll_32,pipeline_1,23.25,0.20000641491286414,False
workload_183.cpp,xczu7ev-ffvc1156-2-e,10.0,460.80703,256,25,1,5,34,cyclic_8_1,cyclic_2_1,block_2_1,unroll_2,unroll_4,unroll_64,16.25,0.5281621471926178,False
workload_184.cpp,xczu7ev-ffvc1156-2-e,10.0,300.55811,203,24,1,19,31,block_2_1,block_2_1,complete_1,unroll,unroll_2,unroll_2,18.75,0.5904611761257224,False
workload_185.cpp,xczu7ev-ffvc1156-2-e,10.0,587.25764,555,28,1,8,49,cyclic_16_1,cyclic_32_1,complete_1,unroll,unroll_4,pipeline_1,21.5,0.2956261854448328,False
workload_200.cpp,xczu7ev-ffvc1156-2-e,10.0,420.87598,45,26,1,1,5,cyclic_4_1,cyclic_8_1,cyclic_2_1,unroll_2,unroll_2,unroll_4,8.25,0.7407705548737613,False
workload_201.cpp,xczu7ev-ffvc1156-2-e,10.0,308.43151,45,28,1,9,18,block_8_1,block_2_1,cyclic_4_1,unroll_2,unroll_2,pipeline,14.0,0.7556727217375949,False
workload_202.cpp,xczu7ev-ffvc1156-2-e,10.0,308.44191,52,46,4,10,19,block_64_1,block_2_1,block_4_1,unroll_2,unroll_2,pipeline_1,19.75,0.5530506385402925,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10.0,587.61695,55,26,1,3,11,cyclic_8_1,block_32_1,block_2_1,unroll_2,unroll_4,pipeline_1,10.25,0.4458900388689703,False
workload_204.cpp,xczu7ev-ffvc1156-2-e,10.0,298.88415,67,46,7,2,8,block_64_1,cyclic_2_1,cyclic_4_1,unroll_2,unroll_2,unroll_2,15.75,0.696587594754839,False
workload_205.cpp,xczu7ev-ffvc1156-2-e,10.0,572.2619,74,26,1,8,15,block_2_1,cyclic_8_1,block_4_1,unroll_2,unroll_4,unroll_4,12.5,0.4446946678992232,False
workload_206.cpp,xczu7ev-ffvc1156-2-e,10.0,306.38244,87,24,1,4,16,cyclic_4_1,cyclic_2_1,cyclic_2_1,unroll,unroll_2,pipeline_1,11.25,0.8673449607459126,False
workload_207.cpp,xczu7ev-ffvc1156-2-e,10.0,420.87594,87,41,1,2,17,cyclic_4_1,cyclic_64_1,block_2_1,unroll_4,unroll_2,unroll_4,15.25,0.6012646919594667,False
workload_208.cpp,xczu7ev-ffvc1156-2-e,10.0,449.29679,45,25,1,1,6,cyclic_8_1,cyclic_2_1,cyclic_2_1,unroll_2,unroll_4,pipeline_1,8.25,0.6865106197623204,False
workload_209.cpp,xczu7ev-ffvc1156-2-e,10.0,307.0377,51,25,1,1,6,cyclic_8_1,cyclic_2_1,complete_1,unroll_4,unroll_2,pipeline_1,8.25,0.9619654193906023,False
