Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,OuterLoop_1,OuterLoop_2,OuterLoop_3,InnerLoop_1_1,Area,Weight,is_pareto
workload_132.cpp,xczu7ev-ffvc1156-2-e,10.0,19.80888,191,17,1,7,20,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_4_1,cyclic_128_1,cyclic_128_1,cyclic_4_1,block_32_1,block_8_1,complete_1,unroll_4,unroll_2,unroll_64,unroll_16,11.25,0.8167105430229292,False
workload_133.cpp,xczu7ev-ffvc1156-2-e,10.0,10.846,1634,23,1,9,39,cyclic_64_1,block_8_1,cyclic_2_1,cyclic_64_1,block_64_1,block_16_1,block_2_1,cyclic_128_1,block_64_1,complete_1,unroll_32,unroll_8,unroll_4,pipeline_1,18.0,0.7193443714811364,False
workload_134.cpp,xczu7ev-ffvc1156-2-e,10.0,16.91476,621,16,1,7,25,cyclic_2_1,block_2_1,cyclic_2_1,cyclic_64_1,block_32_1,cyclic_128_1,cyclic_32_1,cyclic_128_1,block_32_1,complete_1,unroll_32,pipeline_1,unroll_16,unroll_16,12.25,0.8270936405529592,False
workload_136.cpp,xczu7ev-ffvc1156-2-e,10.0,19.03957,131,23,1,2,13,cyclic_8_1,cyclic_16_1,block_2_1,cyclic_64_1,cyclic_2_1,cyclic_2_1,cyclic_32_1,cyclic_8_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_2,unroll_16,9.75,0.8409725493237442,False
workload_137.cpp,xczu7ev-ffvc1156-2-e,10.0,8.78416,114,23,1,5,19,cyclic_4_1,cyclic_128_1,cyclic_32_1,cyclic_32_1,block_64_1,cyclic_2_1,block_2_1,cyclic_4_1,block_32_1,complete_1,unroll_16,unroll_2,unroll_64,pipeline_1,12.0,0.8834402076067216,False
workload_138.cpp,xczu7ev-ffvc1156-2-e,10.0,15.96408,709,18,1,7,37,cyclic_2_1,cyclic_8_1,block_128_1,cyclic_2_1,cyclic_128_1,cyclic_64_1,block_4_1,cyclic_4_1,cyclic_8_1,complete_1,unroll_32,unroll_2,unroll_32,unroll_32,15.75,0.759260643257264,False
workload_139.cpp,xczu7ev-ffvc1156-2-e,10.0,18.9938,664,22,1,7,24,cyclic_8_1,block_64_1,block_16_1,block_4_1,cyclic_64_1,cyclic_64_1,cyclic_32_1,block_128_1,cyclic_2_1,complete_1,unroll_32,pipeline,unroll_64,unroll_16,13.5,0.7885904601721679,False
workload_140.cpp,xczu7ev-ffvc1156-2-e,10.0,18.00744,669,19,1,7,24,cyclic_8_1,cyclic_64_1,cyclic_4_1,block_64_1,cyclic_64_1,cyclic_64_1,cyclic_2_1,block_32_1,cyclic_16_1,complete_1,unroll_2,unroll_16,unroll_8,unroll_32,12.75,0.8097466289985261,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10.0,24.0316,637,18,1,11,46,cyclic_2_1,cyclic_128_1,cyclic_8_1,cyclic_2_1,block_64_1,cyclic_128_1,block_4_1,cyclic_64_1,cyclic_4_1,complete_1,unroll_32,unroll_32,unroll_8,unroll_2,19.0,0.6472105362803555,False
workload_142.cpp,xczu7ev-ffvc1156-2-e,10.0,7.59669,723,18,1,38,59,block_2_1,cyclic_4_1,block_2_1,block_2_1,block_32_1,cyclic_4_1,cyclic_128_1,cyclic_2_1,block_16_1,complete_1,pipeline_1,unroll_4,unroll_2,unroll_8,29.0,0.470062989985512,False
