Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_2_1,Area,Weight,is_pareto
workload_472.cpp,xczu7ev-ffvc1156-2-e,10.0,587.30394,89,58,1,4,19,cyclic_32_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,unroll_32,unroll_64,unroll_8,unroll_4,pipeline,unroll_2,20.5,0.8736958413239441,False
workload_473.cpp,xczu7ev-ffvc1156-2-e,10.0,112.96922,100,40,7,9,22,cyclic_2_1,block_32_1,block_64_1,pipeline,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll_16,pipeline_1,unroll_2,19.5,0.8988999305650471,False
workload_474.cpp,xczu7ev-ffvc1156-2-e,10.0,579.51898,297,67,1,36,65,cyclic_32_1,cyclic_64_1,cyclic_2_1,pipeline,pipeline,unroll_32,unroll_64,unroll_64,unroll_8,unroll,pipeline_1,unroll_8,42.25,0.605951653933342,False
workload_475.cpp,xczu7ev-ffvc1156-2-e,10.0,679.21304,487,43,1,30,63,cyclic_2_1,block_8_1,block_32_1,pipeline,pipeline,unroll_32,pipeline,unroll_64,unroll_4,unroll_4,pipeline_1,unroll_8,34.25,0.6955686186694007,False
workload_476.cpp,xczu7ev-ffvc1156-2-e,10.0,600.49306,274,51,1,36,64,cyclic_2_1,cyclic_64_1,cyclic_2_1,pipeline,pipeline,unroll_32,unroll_32,unroll_64,pipeline_1,unroll_16,pipeline,unroll_8,38.0,0.6533569685618537,False
workload_479.cpp,xczu7ev-ffvc1156-2-e,10.0,587.30906,107,74,1,4,31,cyclic_64_1,block_4_1,cyclic_2_1,pipeline,pipeline,unroll_2,unroll_16,unroll_64,unroll_8,unroll_4,pipeline_1,unroll_8,27.5,0.7811964225343452,False
workload_480.cpp,xczu7ev-ffvc1156-2-e,10.0,112.91629,123,40,7,12,21,cyclic_2_1,block_16_1,cyclic_128_1,unroll,pipeline,pipeline,unroll_64,unroll_64,unroll_8,unroll_16,pipeline_1,unroll_2,20.0,0.8920233452770112,False
workload_481.cpp,xczu7ev-ffvc1156-2-e,10.0,587.2988,135,58,1,4,25,cyclic_32_1,cyclic_2_1,cyclic_2_1,pipeline,pipeline_1,unroll_2,pipeline,unroll_64,unroll_8,unroll_4,pipeline,unroll_2,22.0,0.8533664231624477,False
workload_482.cpp,xczu7ev-ffvc1156-2-e,10.0,112.96922,76,41,7,8,14,cyclic_2_1,cyclic_2_1,block_32_1,pipeline,pipeline_1,pipeline,unroll_64,unroll_64,pipeline,pipeline_1,pipeline,unroll_8,17.5,0.9264424516525112,False
workload_483.cpp,xczu7ev-ffvc1156-2-e,10.0,1023.42645,64,41,1,2,6,cyclic_2_1,cyclic_2_1,block_64_1,pipeline,pipeline,unroll_2,unroll_32,unroll_8,unroll_16,unroll_4,pipeline,pipeline_1,12.5,0.9890243707364201,False
