Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_2_1,Area,Weight,is_pareto
workload_4064.cpp,xcu200-fsgd2104-2-e,5.0,102.62988,1280,1,1,9,29,cyclic_16_1,complete_2,block_2_1,block_4_1,cyclic_4_1,complete_1,unroll_32,pipeline,unroll_16,pipeline_1,10.0,0.4368840545174075,False
workload_4065.cpp,xcu200-fsgd2104-2-e,5.0,78.02316,2605,3,1,23,32,block_4_1,block_2_2,block_2_1,block_4_1,cyclic_4_1,complete_1,unroll_32,pipeline,unroll_32,pipeline_1,14.75,0.28490637255941065,False
workload_4066.cpp,xcu200-fsgd2104-2-e,5.0,78.484185,51,3,1,1,1,cyclic_2_1,cyclic_2_1,block_4_1,block_4_1,cyclic_2_1,complete_1,unroll_2,pipeline,unroll_2,pipeline,1.5,0.9108767702869666,False
workload_4067.cpp,xcu200-fsgd2104-2-e,5.0,83.399305,51,3,1,1,1,cyclic_2_1,block_4_2,block_2_1,complete_1,cyclic_2_1,complete_1,unroll_2,pipeline,unroll_2,pipeline,1.5,0.8738951355233152,False
workload_4068.cpp,xcu200-fsgd2104-2-e,5.0,66.525005,54,2,2,1,1,cyclic_2_1,block_2_2,block_2_2,complete_1,block_4_1,block_4_1,unroll_2,pipeline,pipeline,pipeline_1,1.5,1.0,True
workload_4069.cpp,xcu200-fsgd2104-2-e,5.0,76.681945,54,2,1,1,1,block_4_1,cyclic_2_1,cyclic_16_1,cyclic_4_1,cyclic_2_1,complete_1,unroll_2,pipeline,unroll_2,pipeline,1.25,0.9288579612817571,False
workload_4070.cpp,xcu200-fsgd2104-2-e,5.0,72.995465,59,3,1,1,1,block_4_1,cyclic_16_1,cyclic_4_1,complete_1,cyclic_2_1,complete_1,unroll_2,pipeline,unroll_4,pipeline,1.5,0.9498199613243161,False
workload_4071.cpp,xcu200-fsgd2104-2-e,5.0,78.2379,59,3,1,1,1,block_4_1,block_2_2,cyclic_4_1,complete_1,block_8_1,complete_1,unroll_2,pipeline,unroll_4,pipeline,1.5,0.9127126949301317,False
workload_4072.cpp,xcu200-fsgd2104-2-e,5.0,74.717785,68,1,1,1,1,block_16_1,complete_2,block_2_1,cyclic_2_1,block_4_1,block_4_1,unroll_2,pipeline_1,pipeline,pipeline,1.0,0.9448007861582266,False
workload_4073.cpp,xcu200-fsgd2104-2-e,5.0,69.47515,68,1,1,1,1,cyclic_16_1,block_2_2,block_2_1,block_4_1,block_4_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline_1,1.0,0.9857197397622702,False
workload_4074.cpp,xcu200-fsgd2104-2-e,5.0,67.58909,69,4,1,1,1,block_4_1,cyclic_4_1,cyclic_4_1,complete_1,block_8_1,complete_1,unroll_2,unroll_4,unroll_8,pipeline,1.75,0.9729420708539894,False
workload_4075.cpp,xcu200-fsgd2104-2-e,5.0,69.47395,92,1,2,1,1,cyclic_16_1,cyclic_2_1,block_2_1,complete_1,block_2_1,complete_1,unroll_2,pipeline,pipeline_1,pipeline,1.25,0.982072093061527,False
