Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,OuterLoop_1,OuterLoop_2,InnerLoop_1_1,InnerLoop_1_2,Area,Weight,is_pareto
workload_44.cpp,xczu7ev-ffvc1156-2-e,10.0,33.20339,72,11,1,1,5,cyclic_2_1,block_4_1,block_2_1,block_2_1,unroll_4,unroll_4,pipeline_1,unroll_8,4.5,0.9182135660983384,False
workload_51.cpp,xczu7ev-ffvc1156-2-e,10.0,39.18209,130,28,1,1,20,block_2_1,block_128_1,block_4_1,cyclic_8_1,unroll_8,unroll_4,unroll_2,unroll_4,12.5,0.5490430046931588,False
workload_52.cpp,xczu7ev-ffvc1156-2-e,10.0,32.61951,378,25,1,32,35,cyclic_64_1,cyclic_8_1,cyclic_16_1,block_16_1,unroll_2,unroll_32,unroll_4,unroll_64,23.25,0.48070882413669014,False
workload_53.cpp,xczu7ev-ffvc1156-2-e,10.0,32.70659,738,25,1,2,44,block_2_1,cyclic_8_1,cyclic_32_1,block_32_1,unroll_2,unroll_2,unroll_64,unroll_4,18.0,0.6472275187182935,False
workload_54.cpp,xczu7ev-ffvc1156-2-e,10.0,32.43775,66,10,1,1,6,block_2_1,block_2_1,cyclic_64_1,cyclic_4_1,unroll_2,unroll_16,pipeline,pipeline_1,4.5,0.9525046044706861,False
workload_56.cpp,xczu7ev-ffvc1156-2-e,10.0,38.02505,1159,31,1,3,72,block_32_1,cyclic_16_1,block_32_1,block_32_1,unroll_8,unroll_8,unroll_8,unroll_2,26.75,0.33385358342667903,False
workload_57.cpp,xczu7ev-ffvc1156-2-e,10.0,39.34617,493,24,1,1,52,cyclic_64_1,cyclic_64_1,block_2_1,cyclic_16_1,unroll_8,unroll_16,unroll_16,unroll_2,19.5,0.44938139695319057,False
workload_74.cpp,xczu7ev-ffvc1156-2-e,10.0,34.01918,1286,13,1,20,97,cyclic_32_1,block_4_1,block_4_1,block_4_1,unroll,unroll_4,unroll_16,unroll_16,32.75,0.24858087791489808,False
workload_80.cpp,xczu7ev-ffvc1156-2-e,10.0,37.86129,120,27,1,1,20,block_2_1,block_128_1,block_4_1,cyclic_4_1,unroll_8,unroll_4,unroll_2,pipeline_1,12.25,0.6017856403900821,False
workload_81.cpp,xczu7ev-ffvc1156-2-e,10.0,32.52623,192,15,1,2,17,block_32_1,cyclic_16_1,cyclic_16_1,cyclic_128_1,unroll_2,unroll_32,pipeline_1,unroll_64,8.75,0.8625195347701959,False
workload_82.cpp,xczu7ev-ffvc1156-2-e,10.0,57.99711,206,28,1,1,28,block_8_1,cyclic_64_1,block_32_1,cyclic_16_1,unroll_2,unroll_16,unroll_16,unroll_2,14.5,0.10836715108428613,False
workload_83.cpp,xczu7ev-ffvc1156-2-e,10.0,34.01918,808,13,1,11,82,cyclic_32_1,block_32_1,block_4_1,block_4_1,unroll,unroll_4,unroll_16,unroll_4,26.75,0.3779341794687653,False
