model,target,target_group,kernel,count,kendall_tau_b,spearman_rho,mae,rmse,top1_best_actual,top1_regret,top1_oracle_recall,top5_best_actual,top5_regret,top5_oracle_recall,top10_best_actual,top10_regret,top10_oracle_recall
HARP-Rep,perf,rodinia_pathfinder_4_doublebuffer_0::xczu7ev-ffvc1156-2-e::5,rodinia_pathfinder_4_doublebuffer_0,514,0.1741242675808651,0.2872293926172075,8.490827796894152,10.608093286895475,16.131935119628906,0.01662742328247946,0.0,16.131935119628906,0.01662742328247946,0.0,16.131935119628906,0.01662742328247946,0.0
Structured-MLIR,area,machsuite-sort-radix::xcu200-fsgd2104-2-e::10,machsuite-sort-radix,590,0.5463496132135317,0.6830165965500009,0.6534764790271465,0.6789930776625654,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0
Structured-MLIR,area,machsuite-sort-radix::xcu200-fsgd2104-2-e::3.33,machsuite-sort-radix,648,0.5293802827337257,0.6467444224483171,0.6190166992476661,0.6421298449609953,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0
Structured-MLIR,area,machsuite-sort-radix::xcu200-fsgd2104-2-e::5,machsuite-sort-radix,623,0.5436681449317862,0.6942501247818134,0.6683443237443151,0.7024306653077121,0.0625,0.0,1.0,0.0625,0.0,1.0,0.0625,0.0,1.0
Structured-MLIR,area,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::10,machsuite-sort-radix,683,0.49712825944996986,0.6606538745664492,0.8806634599602257,1.7838969893538907,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0
Structured-MLIR,area,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::3.33,machsuite-sort-radix,731,0.47111617011026935,0.6322549859173009,0.9428632239501897,1.689192985591068,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0
Structured-MLIR,area,machsuite-sort-radix::xczu7ev-ffvc1156-2-e::5,machsuite-sort-radix,760,0.30321489164559656,0.4021077366182975,0.6071330001071729,1.3443675662585943,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0
Structured-MLIR,area,machsuite-viterbi::xcu200-fsgd2104-2-e::10,machsuite-viterbi,615,0.05892712754150845,0.08777314903725221,0.8888445291302122,1.0806678796904257,1.5,23.0,0.0,1.5,23.0,0.0,0.75,11.0,0.0
Structured-MLIR,area,machsuite-viterbi::xcu200-fsgd2104-2-e::3.33,machsuite-viterbi,478,0.12036303813384457,0.17315606074645035,0.7695673912790704,0.9940272602260591,1.0,15.0,0.0,1.0,15.0,0.0,1.0,15.0,0.0
Structured-MLIR,area,machsuite-viterbi::xcu200-fsgd2104-2-e::5,machsuite-viterbi,571,-0.014011361192964719,-0.016284631681297745,1.0351374646544027,1.2974046102721226,1.25,19.0,0.0,1.25,19.0,0.0,1.0,15.0,0.0
Structured-MLIR,area,machsuite-viterbi::xczu7ev-ffvc1156-2-e::10,machsuite-viterbi,519,0.1263949255733793,0.16792786271155094,6.741328300444839,8.640865044269837,6.5,2.25,0.0,6.5,2.25,0.0,4.75,1.375,0.0
Structured-MLIR,area,machsuite-viterbi::xczu7ev-ffvc1156-2-e::3.33,machsuite-viterbi,615,-0.04587235765571711,-0.06825843878686029,8.15941333365707,10.302666337352521,7.625,2.8125,0.0,7.5,2.75,0.0,7.5,2.75,0.0
Structured-MLIR,area,machsuite-viterbi::xczu7ev-ffvc1156-2-e::5,machsuite-viterbi,531,0.03941872051493134,0.04910804826092228,6.2438187972105155,7.842448120463972,7.0,3.0,0.0,5.25,2.0,0.0,5.25,2.0,0.0
Structured-MLIR,area,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::10,rodinia_pathfinder_0_baseline_0,227,0.06039725031022404,0.135163500511854,3.898004678132282,4.615917861075092,0.25,3.0,0.0,0.25,3.0,0.0,0.25,3.0,0.0
Structured-MLIR,area,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::3.33,rodinia_pathfinder_0_baseline_0,234,0.1544581864183005,0.25937111189039086,4.012606521649763,4.797699523795919,0.25,3.0,0.0,0.25,3.0,0.0,0.25,3.0,0.0
Structured-MLIR,area,rodinia_pathfinder_0_baseline_0::xcu200-fsgd2104-2-e::5,rodinia_pathfinder_0_baseline_0,265,0.2508047969477627,0.3658421273323654,4.1113499159271845,4.701431926656038,0.25,3.0,0.0,0.25,3.0,0.0,0.25,3.0,0.0
