app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
machsuite-stencil2d,xczu7ev-ffvc1156-2-e,3.33,137.958.237,0,0,0,0,23.856.915.712.356.500
machsuite-spmv-ellpack,xcu200-fsgd2104-2-e,10,45.943,0,0,0,0,25.744.407.653.808.500
machsuite-spmv-ellpack,xcu200-fsgd2104-2-e,5,328.515,0,0,0,0,2.670.582.103.729.240
machsuite-spmv-ellpack,xcu200-fsgd2104-2-e,3.33,35.039.259,0,0,0,0,26.589.187.622.070.300
machsuite-spmv-ellpack,xczu7ev-ffvc1156-2-e,10,65.703,0,0,0,0,26.315.301.179.885.800
machsuite-spmv-ellpack,xczu7ev-ffvc1156-2-e,5,550.815,0,0,0,0,26.245.708.465.576.100
machsuite-spmv-ellpack,xczu7ev-ffvc1156-2-e,3.33,48.199.419,0,0,0,1,257.754.864.692.688
rodinia-hotspot-2-pipeline,xcu200-fsgd2104-2-e,10,2.740.015.713,1,0,0,0,28.657.389.402.389.500
rodinia-hotspot-2-pipeline,xcu200-fsgd2104-2-e,5,15.042.255.845,1,0,0,0,28.434.165.477.752.600
rodinia-hotspot-2-pipeline,xcu200-fsgd2104-2-e,3.33,1.460.459.391.021,1,0,0,0,284.343.159.198.761
rodinia-hotspot-2-pipeline,xczu7ev-ffvc1156-2-e,10,2.874.233.441,29,0,0,0,2.931.311.321.258.540
rodinia-hotspot-2-pipeline,xczu7ev-ffvc1156-2-e,5,16.719.977.445,29,0,0,1,29.109.261.989.593.500
rodinia-hotspot-2-pipeline,xczu7ev-ffvc1156-2-e,3.33,1.985.619.806.253,29,0,0,1,2.861.104.464.530.940
serrano-kalman-filter,xcu200-fsgd2104-2-e,10,10.393.666,0,0,0,0,33.906.081.438.064.500
serrano-kalman-filter,xcu200-fsgd2104-2-e,5,5.721.121,0,0,0,0,3.383.433.675.765.990
serrano-kalman-filter,xcu200-fsgd2104-2-e,3.33,4.257.626.778,0,0,0,0,2.898.624.610.900.870
serrano-kalman-filter,xczu7ev-ffvc1156-2-e,10,10.393.666,87,0,0,4,33.380.260.705.947.800
serrano-kalman-filter,xczu7ev-ffvc1156-2-e,5,6.114.305,87,0,0,4,2.969.548.797.607.420
serrano-kalman-filter,xczu7ev-ffvc1156-2-e,3.33,4.508.575.578,87,0,0,4,33.941.680.908.203.100
rodinia_streamcluster_1_tiling_0,xcu200-fsgd2104-2-e,10,2.276.587,0,0,0,0,2.862.157.940.864.560
