Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,OuterLoop_1,InnerLoop_1_1,Replicate_Count,Area,Weight,is_pareto
workload_4511.cpp,xcu200-fsgd2104-2-e,3.33,0.07727265,421,0,2,5,6,block_4_1,block_16_1,block_128_1,complete_1,complete_1,cyclic_4_1,pipeline_1,unroll_4,1,3.25,0.693973181095,False
workload_4484.cpp,xcu200-fsgd2104-2-e,3.33,0.07727265,310,0,2,4,5,block_4_1,block_16_1,block_64_1,complete_1,block_2_1,complete_1,pipeline_1,unroll_8,1,2.75,0.756219140974,False
workload_4422.cpp,xcu200-fsgd2104-2-e,3.33,0.11004984,219,0,2,1,3,block_4_1,block_32_1,block_128_1,cyclic_2_1,complete_1,complete_1,unroll_2,pipeline_1,1,1.5,0.817552573627,False
workload_4472.cpp,xcu200-fsgd2104-2-e,3.33,0.07724268,283,0,2,2,4,block_4_1,block_32_1,block_16_1,complete_1,block_8_1,complete_1,pipeline_1,pipeline_1,1,2,0.854814619387,False
workload_4419.cpp,xcu200-fsgd2104-2-e,3.33,0.07724268,282,0,2,2,4,block_4_1,block_32_1,block_16_1,complete_1,block_8_1,complete_1,pipeline_1,unroll_8,1,2,0.854814619387,False
workload_4377.cpp,xcu200-fsgd2104-2-e,3.33,0.07724268,285,0,2,2,4,block_4_1,block_32_1,block_16_1,cyclic_8_1,block_8_1,complete_1,pipeline_1,unroll_8,1,2,0.854814619387,False
workload_4339.cpp,xcu200-fsgd2104-2-e,3.33,0.07724268,283,0,2,2,4,block_4_1,block_32_1,block_16_1,cyclic_8_1,block_8_1,cyclic_4_1,pipeline_1,unroll_8,1,2,0.854814619387,False
workload_4464.cpp,xcu200-fsgd2104-2-e,3.33,0.07724268,261,0,2,2,4,block_4_1,block_32_1,block_8_1,cyclic_8_1,block_8_1,complete_1,pipeline_1,unroll_8,1,2,0.854814619387,False
workload_4467.cpp,xcu200-fsgd2104-2-e,3.33,0.1101564,169,0,2,1,2,block_4_1,block_32_1,cyclic_16_1,cyclic_2_1,complete_1,complete_1,unroll_2,pipeline_1,1,1.25,0.831385372947,False
workload_4366.cpp,xcu200-fsgd2104-2-e,3.33,0.29482155,3534,0,0,0,5,block_4_1,block_64_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,unroll_64,unroll_4,1,1.25,0.309464767462,False
workload_4435.cpp,xcu200-fsgd2104-2-e,3.33,0.100566,1448,0,0,6,6,block_4_1,block_64_1,cyclic_2_1,cyclic_2_1,complete_1,cyclic_2_1,unroll_64,pipeline_1,1,3,0.704483257695,False
workload_4392.cpp,xcu200-fsgd2104-2-e,3.33,0.100566,1349,0,0,6,6,block_4_1,block_8_1,cyclic_2_1,cyclic_2_1,complete_1,complete_1,unroll_64,pipeline_1,1,3,0.704483257695,False
workload_4354.cpp,xcu200-fsgd2104-2-e,3.33,0.32766867,2294,0,0,1,4,block_4_1,cyclic_2_1,block_64_1,cyclic_4_1,cyclic_2_1,cyclic_4_1,unroll_64,unroll_2,1,1.25,0.245848889703,False
workload_4486.cpp,xcu200-fsgd2104-2-e,3.33,0.10656,841,0,15,2,8,block_4_1,cyclic_2_1,cyclic_8_1,cyclic_4_1,cyclic_8_1,complete_1,unroll_16,pipeline_1,1,6.25,0.377461776481,False
workload_4432.cpp,xcu200-fsgd2104-2-e,3.33,0.44107848,363,0,4,2,4,block_4_1,cyclic_64_1,block_16_1,block_4_1,block_8_1,cyclic_4_1,unroll_4,unroll_8,1,2.5,0.11107931893,False
workload_4405.cpp,xcu200-fsgd2104-2-e,3.33,0.12550104,755,0,2,0,7,block_64_1,block_16_1,block_64_1,cyclic_8_1,block_2_1,block_2_1,unroll_2,pipeline_1,1,2.25,0.72177476669,False
workload_4468.cpp,xcu200-fsgd2104-2-e,3.33,0.35503128,722,0,2,0,7,block_64_1,block_16_1,cyclic_32_1,cyclic_8_1,block_2_1,cyclic_4_1,unroll_2,unroll_2,1,2.25,0.193092560563,False
workload_4413.cpp,xcu200-fsgd2104-2-e,3.33,0.12550104,755,0,2,0,7,block_64_1,block_16_1,cyclic_64_1,cyclic_8_1,block_2_1,block_2_1,unroll_2,pipeline_1,1,2.25,0.72177476669,False
workload_4332.cpp,xcu200-fsgd2104-2-e,3.33,0.12528792,1725,0,5,1,12,block_64_1,block_32_1,block_16_1,cyclic_8_1,complete_1,block_2_1,unroll_4,pipeline_1,1,4.5,0.517657473818,False
workload_4382.cpp,xcu200-fsgd2104-2-e,3.33,0.1253412,1797,0,5,1,13,block_64_1,block_32_1,cyclic_64_1,complete_1,block_4_1,block_2_1,unroll_4,pipeline_1,1,4.75,0.494535697376,False
workload_4385.cpp,xcu200-fsgd2104-2-e,3.33,0.1204794,854,0,15,3,11,block_8_1,block_2_1,block_32_1,complete_1,cyclic_8_1,cyclic_4_1,unroll_16,pipeline_1,1,7.25,0.296113633546,False
workload_4450.cpp,xcu200-fsgd2104-2-e,3.33,0.11995992,1461,0,0,7,7,block_8_1,block_8_1,block_32_1,complete_1,cyclic_4_1,cyclic_4_1,unroll_64,pipeline_1,1,3.5,0.621543337839,False
workload_4335.cpp,xcu200-fsgd2104-2-e,3.33,0.12523464,619,0,9,2,8,block_8_1,block_8_1,block_32_1,complete_1,cyclic_8_1,cyclic_4_1,unroll_8,pipeline_1,1,4.75,0.494655507867,False
workload_4441.cpp,xcu200-fsgd2104-2-e,3.33,0.12528792,631,0,9,2,8,block_8_1,block_8_1,block_32_1,cyclic_8_1,cyclic_8_1,cyclic_4_1,unroll_8,pipeline_1,1,4.75,0.494595626176,False
workload_4428.cpp,xcu200-fsgd2104-2-e,3.33,0.09363294,442,0,2,5,7,block_8_1,cyclic_64_1,block_128_1,complete_1,complete_1,cyclic_4_1,pipeline_1,unroll_2,1,3.5,0.655411379235,False
workload_4479.cpp,xcu200-fsgd2104-2-e,3.33,0.09334989,1155,0,1,1,5,cyclic_128_1,block_128_1,cyclic_128_1,cyclic_2_1,block_2_1,block_8_1,pipeline_1,unroll_2,1,1.75,0.853517330118,False
