Version,Device,Clock_Period_nsec,Latency_msec,Synthesis_Time_sec,BRAM_Utilization_percentage,DSP_Utilization_percentage,FF_Utilization_percentage,LUT_Utilization_percentage,Array_1,OuterLoop_1,InnerLoop_1_1,InnerLoop_2_1,InnerLoop_3_1,Replicate_Count,Area,Weight,is_pareto
workload_345.cpp,xczu7ev-ffvc1156-2-e,10,110.1859,189.5,0,1,5,8,cyclic_2_1,unroll_2,unroll_2,unroll_4,pipeline_1,6,3.5,0.964268270335,False
workload_128.cpp,xczu7ev-ffvc1156-2-e,10,115.92354,654,0,1,12,25,cyclic_2_1,unroll_2,unroll_2,unroll_8,pipeline_1,3,9.5,0.600704432218,False
workload_363.cpp,xczu7ev-ffvc1156-2-e,10,110.14366,195,0,1,5,9,cyclic_2_1,unroll_2,unroll_4,unroll_2,pipeline_1,3,3.75,0.95533599285,False
workload_312.cpp,xczu7ev-ffvc1156-2-e,10,270.28966,837,0,5,20,33,cyclic_2_1,unroll_2,unroll_4,unroll_2,unroll_16,1,14.5,0.334786541829,False
workload_388.cpp,xczu7ev-ffvc1156-2-e,10,110.01766,820,0,1,9,14,cyclic_2_1,unroll_2,unroll_4,unroll_4,pipeline_1,2,6,0.805602725447,False
workload_304.cpp,xczu7ev-ffvc1156-2-e,10,109.97588,175,0,1,5,9,cyclic_2_1,unroll_4,unroll_2,unroll_2,pipeline_1,6,3.75,0.955504561814,False
workload_334.cpp,xczu7ev-ffvc1156-2-e,10,425.59188,306,0,2,6,11,cyclic_2_1,unroll_4,unroll_2,unroll_2,unroll_4,1,4.75,0.458814849505,False
workload_264.cpp,xczu7ev-ffvc1156-2-e,10,416.85588,432,0,2,9,14,cyclic_2_1,unroll_4,unroll_2,unroll_2,unroll_8,1,6.25,0.452551714471,False
workload_474.cpp,xczu7ev-ffvc1156-2-e,10,110.04588,808.5,0,1,8.5,13,cyclic_2_1,unroll_4,unroll_2,unroll_4,pipeline_1,4,5.625,0.829618949825,False
workload_407.cpp,xczu7ev-ffvc1156-2-e,10,109.75864,840,0,1,9,14,cyclic_2_1,unroll_4,unroll_4,unroll_2,pipeline_1,2,6,0.805602667482,False
workload_328.cpp,xczu7ev-ffvc1156-2-e,10,110.1299,94,0,1,3,6,cyclic_4_1,unroll_2,unroll_2,unroll_2,pipeline_1,5,2.5,1,True
workload_339.cpp,xczu7ev-ffvc1156-2-e,10,778.4059,113,0,1,3,6,cyclic_4_1,unroll_2,unroll_2,unroll_2,unroll_2,1,2.5,0.149090808882,False
workload_109.cpp,xczu7ev-ffvc1156-2-e,10,109.9619,189,0,1,5,8,cyclic_4_1,unroll_2,unroll_2,unroll_4,pipeline_1,5,3.5,1,True
workload_258.cpp,xczu7ev-ffvc1156-2-e,10,767.2199,207,0,1,4,8,cyclic_4_1,unroll_2,unroll_2,unroll_4,unroll_2,2,3.25,0.154443738855,False
workload_213.cpp,xczu7ev-ffvc1156-2-e,10,116.38946,961,0,1,12,25,cyclic_4_1,unroll_2,unroll_2,unroll_8,pipeline_1,4,9.5,0.600684051662,False
workload_38.cpp,xczu7ev-ffvc1156-2-e,10,509.37842,1087,0,3,18,37,cyclic_4_1,unroll_2,unroll_2,unroll_8,unroll_4,1,14.5,0.213615451014,False
workload_141.cpp,xczu7ev-ffvc1156-2-e,10,504.67426,2437,0,3,35,64,cyclic_4_1,unroll_2,unroll_2,unroll_8,unroll_8,2,25.5,0.1,False
workload_404.cpp,xczu7ev-ffvc1156-2-e,10,110.14366,189,0,1,5,9,cyclic_4_1,unroll_2,unroll_4,unroll_2,pipeline_1,3,3.75,0.95533599285,False
workload_401.cpp,xczu7ev-ffvc1156-2-e,10,778.40566,216,0,1,5,9,cyclic_4_1,unroll_2,unroll_4,unroll_2,unroll_2,1,3.75,0.148697780417,False
workload_413.cpp,xczu7ev-ffvc1156-2-e,10,110.01766,836,0,1,9,14,cyclic_4_1,unroll_2,unroll_4,unroll_4,pipeline_1,3,6,0.805602725447,False
workload_289.cpp,xczu7ev-ffvc1156-2-e,10,109.75188,195.5,0,1,5,9,cyclic_4_1,unroll_4,unroll_2,unroll_2,pipeline_1,4,3.75,1,True
workload_161.cpp,xczu7ev-ffvc1156-2-e,10,262.29588,804,0,4,16,23,cyclic_4_1,unroll_4,unroll_2,unroll_2,unroll_16,1,10.75,0.479403238327,False
workload_268.cpp,xczu7ev-ffvc1156-2-e,10,416.85588,435,0,2,9,14,cyclic_4_1,unroll_4,unroll_2,unroll_2,unroll_8,1,6.25,0.452551714471,False
workload_460.cpp,xczu7ev-ffvc1156-2-e,10,109.82188,818,0,1,8,13,cyclic_4_1,unroll_4,unroll_2,unroll_4,pipeline_1,4,5.5,0.837713916946,False
workload_377.cpp,xczu7ev-ffvc1156-2-e,10,756.06188,1034,0,1,8,13,cyclic_4_1,unroll_4,unroll_2,unroll_4,unroll_2,1,5.5,0.157394916806,False
workload_389.cpp,xczu7ev-ffvc1156-2-e,10,109.75864,846.5,0,1,9,14,cyclic_4_1,unroll_4,unroll_4,unroll_2,pipeline_1,4,6,0.805602667482,False
workload_510.cpp,xczu7ev-ffvc1156-2-e,10,109.75881,821,0,2,9,15,cyclic_4_1,unroll_8,unroll_2,unroll_2,pipeline_1,1,6.5,0.774206052846,False
workload_305.cpp,xczu7ev-ffvc1156-2-e,10,110.3539,87.5,0,1,3,6,cyclic_8_1,unroll_2,unroll_2,unroll_2,pipeline_1,6,2.5,0.999537626419,False
workload_203.cpp,xczu7ev-ffvc1156-2-e,10,268.6379,292.5,0,5,11,20,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_16,2,9,0.544868335124,False
workload_368.cpp,xczu7ev-ffvc1156-2-e,10,778.4059,93.5,0,1,3,6,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_2,2,2.5,0.149090808882,False
workload_271.cpp,xczu7ev-ffvc1156-2-e,10,436.8059,104,0,2,4,8,cyclic_8_1,unroll_2,unroll_2,unroll_2,unroll_4,2,3.5,0.450640737157,False
